Month,Cupcake,Katy Perry,Trees,How to cook
2004-01,3,0,42,8
2004-02,3,0,40,8
2004-03,3,0,47,7
2004-04,3,0,53,6
2004-05,3,0,54,7
2004-06,3,0,46,7
2004-07,3,0,48,7
2004-08,3,0,39,7
2004-09,3,0,45,7
2004-10,5,0,49,9
2004-11,4,0,56,11
2004-12,4,0,58,10
2005-01,4,0,35,8
2005-02,5,0,36,8
2005-03,5,0,43,9
2005-04,4,0,52,7
2005-05,4,0,51,8
2005-06,4,0,40,8
2005-07,4,0,34,9
2005-08,5,0,35,9
2005-09,5,0,42,8
2005-10,7,0,47,10
2005-11,5,0,56,13
2005-12,5,0,55,13
2006-01,6,0,36,10
2006-02,7,0,36,10
2006-03,6,0,40,9
2006-04,7,0,46,9
2006-05,6,0,48,9
2006-06,6,0,37,8
2006-07,6,0,36,10
2006-08,7,0,34,10
2006-09,8,0,45,10
2006-10,9,0,44,10
2006-11,7,0,53,14
2006-12,7,0,54,14
2007-01,8,0,33,10
2007-02,9,0,34,10
2007-03,8,0,39,9
2007-04,10,0,45,11
2007-05,10,0,45,9
2007-06,9,0,37,9
2007-07,9,0,36,10
2007-08,10,0,33,10
2007-09,10,0,39,10
2007-10,13,0,42,11
2007-11,11,0,51,16
2007-12,9,0,50,16
2008-01,10,0,32,13
2008-02,15,0,31,12
2008-03,14,1,37,13
2008-04,14,1,43,12
2008-05,15,5,42,12
2008-06,14,21,35,12
2008-07,14,29,32,13
2008-08,15,39,31,13
2008-09,15,39,35,12
2008-10,19,40,37,15
2008-11,16,54,44,22
2008-12,16,50,44,20
2009-01,16,53,26,16
2009-02,22,51,28,16
2009-03,20,42,33,16
2009-04,21,32,38,16
2009-05,21,32,36,16
2009-06,21,31,32,15
2009-07,21,26,28,17
2009-08,22,24,31,18
2009-09,21,23,34,17
2009-10,25,20,35,19
2009-11,22,22,44,27
2009-12,21,23,45,25
2010-01,22,30,28,21
2010-02,29,26,29,21
2010-03,28,22,34,19
2010-04,27,23,41,20
2010-05,29,38,36,19
2010-06,30,73,31,18
2010-07,34,78,31,21
2010-08,34,93,32,23
2010-09,36,100,34,20
2010-10,39,83,35,24
2010-11,34,85,44,31
2010-12,32,89,44,30
2011-01,34,83,29,26
2011-02,43,75,29,24
2011-03,40,72,31,22
2011-04,45,91,35,23
2011-05,40,71,34,22
2011-06,42,76,30,22
2011-07,42,75,30,23
2011-08,47,67,28,24
2011-09,45,61,31,23
2011-10,51,52,33,26
2011-11,48,61,45,34
2011-12,47,65,44,33
2012-01,47,71,28,28
2012-02,58,59,28,25
2012-03,55,60,35,24
2012-04,57,57,36,27
2012-05,55,45,34,24
2012-06,54,66,30,25
2012-07,52,70,28,27
2012-08,51,56,29,26
2012-09,54,49,34,28
2012-10,57,40,32,29
2012-11,51,35,45,39
2012-12,51,31,44,37
2013-01,49,34,29,31
2013-02,59,49,28,31
2013-03,60,29,30,31
2013-04,52,27,34,27
2013-05,54,26,32,27
2013-06,49,27,31,31
2013-07,54,28,29,31
2013-08,52,56,29,30
2013-09,51,74,30,30
2013-10,59,85,32,32
2013-11,48,81,42,39
2013-12,55,74,46,42
2014-01,50,79,28,37
2014-02,58,78,28,31
2014-03,54,77,30,31
2014-04,53,72,35,33
2014-05,50,69,34,30
2014-06,47,63,31,29
2014-07,48,52,30,31
2014-08,46,61,29,31
2014-09,50,47,31,29
2014-10,56,48,33,34
2014-11,49,44,44,44
2014-12,45,39,48,41
2015-01,43,45,25,34
2015-02,52,97,26,35
2015-03,48,40,30,34
2015-04,45,38,36,34
2015-05,45,37,36,33
2015-06,43,36,31,31
2015-07,42,34,29,35
2015-08,43,30,28,34
2015-09,43,36,31,34
2015-10,47,33,33,36
2015-11,44,28,45,47
2015-12,41,28,48,47
2016-01,39,26,27,36
2016-02,47,26,29,34
2016-03,43,23,31,35
2016-04,38,22,35,31
2016-05,40,22,35,32
2016-06,36,20,32,32
2016-07,37,28,30,33
2016-08,35,32,32,31
2016-09,37,28,33,33
2016-10,41,20,36,35
2016-11,35,18,48,46
2016-12,35,16,48,43
2017-01,33,15,30,38
2017-02,42,28,30,35
2017-03,38,24,33,34
2017-04,37,22,37,35
2017-05,34,38,35,34
2017-06,33,44,33,33
2017-07,31,26,32,35
2017-08,33,27,30,33
2017-09,33,22,33,34
2017-10,36,19,34,35
2017-11,33,16,49,48
2017-12,33,16,48,47
2018-01,30,15,28,38
2018-02,35,13,29,34
2018-03,34,27,32,35
2018-04,32,17,35,36
2018-05,31,16,36,33
2018-06,28,13,33,34
2018-07,29,11,32,35
2018-08,27,11,32,33
2018-09,29,9,33,34
2018-10,33,9,35,34
2018-11,30,9,51,47
2018-12,29,10,50,47
2019-01,29,9,29,41
2019-02,35,15,29,35
2019-03,30,13,33,36
2019-04,30,13,38,36
2019-05,29,13,36,33
2019-06,25,14,35,33
2019-07,25,11,33,34
2019-08,27,14,30,35
2019-09,27,10,37,35
2019-10,32,9,40,35
2019-11,28,8,56,46
2019-12,26,9,54,48
2020-01,25,8,31,41
2020-02,29,10,31,36
2020-03,25,29,34,42
2020-04,34,11,46,56
2020-05,35,15,49,51
2020-06,32,11,43,43
2020-07,29,14,37,41
2020-08,27,21,38,42
2020-09,27,13,40,39
2020-10,28,9,38,38
2020-11,25,8,53,56
2020-12,24,9,46,56
2021-01,25,10,33,44
2021-02,33,11,32,42
2021-03,28,9,38,38
2021-04,26,8,44,37
2021-05,28,9,41,37
2021-06,23,8,35,33
2021-07,24,7,34,36
2021-08,23,7,30,36
2021-09,23,7,35,33
2021-10,26,7,37,35
2021-11,24,8,54,49
2021-12,23,8,47,48
2022-01,22,11,32,41
2022-02,27,9,35,35
2022-03,24,9,38,32
2022-04,26,9,43,33
2022-05,25,9,41,32
2022-06,23,7,37,33
2022-07,22,7,35,36
2022-08,22,7,33,34
2022-09,22,6,34,33
